word,pos,cefr,zipf,zipf_rank
secretary,noun,A2,4.377588651284115,822
mark,verb,A2,4.206932938549789,1209
mark,noun,A2,4.626370803663113,428
particular,adj,A2,4.444379135538953,706
marry,verb,A2,5.179508781294231,76
pass,verb,A2,5.254808114984783,58
reach,verb,A2,4.960260605208401,147
sense,noun,A2,5.112581170470039,88
material,noun,A2,4.390521452528342,801
passenger,noun,A2,4.304274870521247,984
react,verb,A2,4.076193855529887,1551
separate,adj,A2,4.22853359875103,1161
math,noun,A2,4.151710147491107,1351
past,adv,A2,3.9510117485134795,1929
realize,verb,A2,5.14559452780773,82
series,noun,A2,4.218130838351263,1185
mathematics,noun,A2,3.4287816881661453,3307
patient,noun,A2,4.958637072544187,148
receive,verb,A2,4.750228629002915,305
matter,noun,A2,5.5020348353429736,19
matter,verb,A2,4.94295264703325,155
pattern,noun,A2,4.286204203145131,1014
recent,adj,A2,4.091962053834579,1513
serve,verb,A2,4.874896716915759,213
pay,noun,A2,4.032459165467727,1702
recently,adv,A2,4.4202722550250995,749
service,noun,A2,4.914990051256797,180
mayor,noun,A2,4.204223669115329,1217
peace,noun,A2,4.844626738615516,231
reception,noun,A2,4.03807339207798,1681
penny,noun,A2,4.232625920968861,1154
recipe,noun,A2,3.9865222514457503,1836
shake,verb,A2,4.799297539582625,265
medical,adj,A2,4.683333372387125,364
recognize,verb,A2,4.738316521493998,312
shape,noun,A2,4.4846618568049195,636
medicine,noun,A2,4.4818027649653915,645
percent,noun,A2,4.430721949689296,729
recommend,verb,A2,4.338704769557113,902
sheet,noun,A2,4.380133707854631,815
memory,noun,A2,4.828920006189426,242
perform,verb,A2,4.47979014211597,648
record,noun,A2,5.0591488375670055,103
record,verb,A2,4.220754982177412,1180
ship,noun,A2,5.047298111108276,107
mention,verb,A2,4.969316595857748,145
recording,noun,A2,4.160214087370977,1329
shoulder,noun,A2,4.547436245768615,533
metal,noun,A2,4.18077276930141,1279
permission,noun,A2,4.4402953237008305,713
recycle,verb,A2,3.50033397675576,3142
shout,verb,A2,4.495913638525167,618
shout,noun,A2,3.1405259805385928,3849
method,noun,A2,4.138001005508089,1387
personality,noun,A2,4.266407810854967,1071
reduce,verb,A2,4.017680233436137,1748
shut,verb,A2,5.442624661144,26
shut,adj,A2,1.9037368811293,4376
middle,noun,A2,4.915518711677407,179
middle,adj,A2,3.529563594415011,3056
pet,noun,A2,4.261195266774336,1084
refer,verb,A2,4.316617239594274,957
side,noun,A2,4.204223669115329,1217
photograph,verb,A2,3.7534633253256278,2505
refrigerator,noun,A2,3.9421583267717595,1956
sign,noun,A2,4.975526867144287,141
sign,verb,A2,4.982012403215901,136
mind,noun,A2,5.441461554095038,27
mind,verb,A2,5.333650578893055,44
physical,adj,A2,4.412939403460403,761
refuse,verb,A2,4.621823175912391,432
silver,noun,A2,4.166780864442465,1313
silver,adj,A2,3.751925998120699,2509
region,noun,A2,3.799987443590938,2366
simple,adj,A2,4.943646487503397,154
mirror,noun,A2,4.24019661497783,1139
pick,verb,A2,5.48426271525863,21
regular,adj,A2,4.497576542210571,614
missing,adj,A2,3.9310864889040564,1996
pilot,noun,A2,4.458226041133119,687
relationship,noun,A2,4.899481732205631,189
singing,noun,A2,3.6361306409522687,2810
monkey,noun,A2,4.527244603240809,560
planet,noun,A2,4.587684011880812,471
remove,verb,A2,4.605951940278466,448
single,adj,A2,4.842006364592211,233
single,noun,A2,3.5111919043439688,3111
moon,noun,A2,4.701696524866496,342
plant,verb,A2,4.189294190137074,1251
repair,verb,A2,3.8722198296832353,2149
sir,noun,A2,5.906194535297606,7
plastic,noun,A2,4.1251511189716386,1422
plastic,adj,A2,3.6440995706235437,2791
replace,verb,A2,4.391582001240735,797
site,noun,A2,4.380858135848962,810
motorcycle,noun,A2,3.965377815190986,1891
plate,noun,A2,4.577678879763388,485
reply,verb,A2,3.444691690055433,3265
reply,noun,A2,3.529563594415011,3056
size,noun,A2,4.69366996206105,349
movement,noun,A2,4.2673488610214445,1066
platform,noun,A2,3.7986065378745524,2372
report,verb,A2,4.737202741299992,314
ski,verb,A2,3.3391033877419614,3495
ski,noun,A2,3.8639697542578126,2173
